posted,,04/23/2021,,FOOD CITY #656           CROSSVILLE   TN,Other Expenses,-4.93
posted,,04/22/2021,,PAYPAL           INST XFER  ***********VERI,Online Services,-5
posted,,04/22/2021,,PAYPAL           INST XFER  ***********BILL,Online Services,-0.99
posted,,04/22/2021,,DYNASTY ASIAN CAFE       CROSSVILLE   TN,Restaurants/Dining,-58.66
posted,,04/22/2021,,STARBUCKS 800-782-7282   800-782-7282 WA,Other Expenses,-20
posted,,04/22/2021,,STARBUCKS 800-782-7282   800-782-7282 WA,Other Expenses,-15
posted,,04/22/2021,,KFORCE  INC &amp; SU DIRDEPOSIT ***********0871,Paychecks/Salary,--2577.33
posted,,04/21/2021,,SQ *NEW ROOTS SALON      CROSSVILLE   TN,Personal Care,-100
posted,,04/21/2021,,TACO BELL 002400244038   CROSSVILLE   TN,Restaurants/Dining,-12.48
posted,,04/21/2021,,OTT* DISCGOLFPROTOUR     STRIPE.COM   VT,Transfers,-10.94
posted,,04/21/2021,,CHICK-FIL-A #01601       COOKEVILLE   TN,Restaurants/Dining,-8.44
posted,,04/20/2021,,0160TRANSFER TO LOANS            21001000000,Loans,-510.98
posted,,04/20/2021,,USAA P&amp;C         AUTOPAY    ***********6580,Insurance,-137.02
posted,,04/20/2021,,KROGER #599 265 HIGHLAND CROSSVILLE   TN,Other Expenses,-2.12
posted,,04/20/2021,,DEPOSIT@MOBILE,Deposits,--266.38
posted,,04/19/2021,,PAYPAL           INST XFER  ***********OLOG,Online Services,-24.03
posted,,04/19/2021,,PAYPAL           INST XFER  ***********LORY,Online Services,-20
posted,,04/19/2021,,PAYPAL           INST XFER  ***********NSAM,Online Services,-9.77
posted,,04/19/2021,,PAYPAL           INST XFER  ***********NSAM,Online Services,-9.77
posted,,04/19/2021,,USAA FUNDS TRANSFER DB,Transfers,-2134.41
posted,,04/19/2021,,USAA FUNDS TRANSFER DB,Transfers,-431.51
posted,,04/19/2021,,THE INN AT ENTRADA       SAINT GEORGE UT,Travel,-362.7
posted,,04/19/2021,,AMZN Mktp US*183BZ23J3   AMZN.COM BILLWA,General Merchandise,-52.63
posted,,04/19/2021,,FOOD CITY #656           CROSSVILLE   TN,Other Expenses,-38.05
posted,,04/19/2021,,AMZN Mktp US*G38LQ0RU3   AMZN.COM BILLWA,General Merchandise,-24.15
posted,,04/19/2021,,CKE*GRINDER HOUSE COFFEE CROSSVILLE   TN,Restaurants/Dining,-19.44
posted,,04/19/2021,,PAPA JOHN'S #2352        CROSSVILLE   TN,Restaurants/Dining,-16.02
posted,,04/19/2021,,DAIRY QUEEN #12847       CROSSVILE    TN,Restaurants/Dining,-8.04
posted,,04/19/2021,,FOOD CITY #656           CROSSVILLE   TN,Other Expenses,-1.17
posted,,04/19/2021,,USAA FUNDS TRANSFER CR,Transfers,--2120.05
posted,,04/19/2021,,USAA FUNDS TRANSFER CR,Transfers,--181.35
posted,,04/16/2021,,CRACKER BARREL # 23 EXECUCROSSVILLE   TN,Restaurants/Dining,-62.93
posted,,04/15/2021,,PAYPAL           INST XFER  ***********2021,Transfers,-57.98
posted,,04/15/2021,,SP * HAPPYBABY           HTTPSHAPPYBABUT,Restaurants/Dining,-169.86
posted,,04/15/2021,,KROGER FUEL #959 265 HIGHCROSSVILLE   TN,Gasoline/Fuel,-40.22
posted,,04/15/2021,,KROGER #5 265 HIGHLAND   CROSSVILLE   TN,Other Expenses,-36.5
posted,,04/15/2021,,GAP ONLINE               800-4277895  OH,Clothing/Shoes,-27.51
posted,,04/15/2021,,SP * HATESTAINS.COM      WWW.HATESTAINTX,Insurance,-7.99
posted,,04/15/2021,,KFORCE  INC &amp; SU DIRDEPOSIT ***********0871,Paychecks/Salary,--2565.92
posted,,04/14/2021,,PAYPAL           INST XFER  ***********VERI,Online Services,-131.73
posted,,04/14/2021,,TARGET DEBIT CRD ACH TRAN   ***********0695,Other Expenses,-38.31
posted,,04/14/2021,,PAYPAL           INST XFER  ***********SSIE,Online Services,-15
posted,,04/14/2021,,RESIDENCE INN FRANKLIN   FRANKLIN     TN,Travel,-162.56
posted,,04/14/2021,,SP * BELLIES TO BABIES   HTTPSBELLIESTNV,Clothing/Shoes,-64.65
posted,,04/14/2021,,STARBUCKS 800-782-7282   800-782-7282 WA,Other Expenses,-25
posted,,04/14/2021,,DAIRY QUEEN #12847       CROSSVILE    TN,Restaurants/Dining,-12.64
posted,,04/14/2021,,AMZN Mktp US*5T3DK44Z3   AMZN.COM BILLWA,General Merchandise,-12.04
posted,,04/14/2021,,Amazon.com*MY5AI7TH3     AMZN.COM BILLWA,General Merchandise,-10.22
posted,,04/14/2021,,CHICK-FIL-A #04211       FRANKLIN     TN,Restaurants/Dining,-7.84
posted,,04/14/2021,,Amazon.com*MF0ZR1VD3     AMZN.COM BILLWA,General Merchandise,-7.67
posted,,04/13/2021,,PAYPAL           INST XFER  ***********VERI,Transfers,-600
posted,,04/13/2021,,STARBUCKS 800-782-7282   800-782-7282 WA,Other Expenses,-25
posted,,04/13/2021,,CHEESECAKE COOL SPRINGS  FRANKLIN     TN,Restaurants/Dining,-22.8
posted,,04/13/2021,,TARGET DEBIT CRD ACH TRAN   ***********0695,Other Expenses,--14.3
posted,,04/12/2021,,PAYPAL           INST XFER  ***********BILL,Transfers,-2.99
posted,,04/12/2021,,TITO'S SPRING HILL       SPRING HILL  TN,Restaurants/Dining,-52.19
posted,,04/12/2021,,GAS-N-GO #656            CROSSVILLE   TN,Gasoline/Fuel,-31.9
posted,,04/12/2021,,STARBUCKS 800-782-7282   800-782-7282 WA,Other Expenses,-25
posted,,04/12/2021,,CHILI'S COOKEVILLE       COOKEVILLE   TN,Restaurants/Dining,-16.7
posted,,04/12/2021,,SHELL SERVICE STATION    FRANKLIN     TN,Gasoline/Fuel,-15.95
posted,,04/12/2021,,SQ *COFFEE &amp; COCONUTS    FRANKLIN     TN,Restaurants/Dining,-13.88
posted,,04/12/2021,,PUBLIX SUPER MAR 5021 HUGFRANKLIN     TN,Groceries,-13.17
posted,,04/12/2021,,FOOD CITY #656           CROSSVILLE   TN,Other Expenses,-12.61
posted,,04/12/2021,,DAIRY QUEEN #43315       CROSSVILLE   TN,Restaurants/Dining,-9.63
posted,,04/12/2021,,PILOT #0411              LEBANON      TN,Gasoline/Fuel,-9.31
posted,,04/12/2021,,FOOD CITY #656           CROSSVILLE   TN,Other Expenses,-8.33
posted,,04/12/2021,,SQ *COFFEE &amp; COCONUTS    FRANKLIN     TN,Restaurants/Dining,-7.04
posted,,04/12/2021,,COSTCO WHSE #0386        BRENTWOOD    TN,General Merchandise,-6.57
posted,,04/12/2021,,CARTER'S  2000 MALLORY   FRANKLIN     TN,Child/Dependent Expenses,-4.82
posted,,04/09/2021,,CRACKER BARREL # 23 EXECUCROSSVILLE   TN,Restaurants/Dining,-27.15
posted,,04/09/2021,,KROGER #599 265 HIGHLAND CROSSVILLE   TN,Other Expenses,-2.34
posted,,04/08/2021,,PAYPAL           INST XFER  ***********.COM,Transfers,-19.7
posted,,04/08/2021,,Shadden Tire Pros (S MainCROSSVILLE   TN,Automotive Expenses,-175.06
posted,,04/08/2021,,KFORCE  INC &amp; SU DIRDEPOSIT ***********0871,Paychecks/Salary,--2120.05
posted,,04/07/2021,,BECKIE B CAIN LMT        CROSSVILLE   TN,Gasoline/Fuel,-100
posted,,04/07/2021,,PAPA JOHN'S #2352        CROSSVILLE   TN,Restaurants/Dining,-58.13
posted,,04/07/2021,,PAPA JOHN'S #2352        CROSSVILLE   TN,Restaurants/Dining,-3.29
posted,,04/07/2021,,PAYPAL           TRANSFER   ***********3127,Transfers,--48.6
posted,,04/06/2021,,CUMBERLAND MEDICAL CTR   CROSSVILLE   TN,Healthcare/Medical,-200
posted,,04/06/2021,,KROGER #5 265 HIGHLAND   CROSSVILLE   TN,Other Expenses,-22.24
posted,,04/06/2021,,WALGREENS #6223          CROSSVILLE   TN,Healthcare/Medical,-17.55
posted,,04/06/2021,,KROGER #5 265 HIGHLAND   CROSSVILLE   TN,Other Expenses,-15.35
posted,,04/06/2021,,MCDONALD'S F6176         CROSSVILLE   TN,Restaurants/Dining,-14.34
posted,,04/06/2021,,Prime Video*636TD5J23    888-802-3080 WA,Entertainment,-3.34
posted,,04/06/2021,,PAYPAL           TRANSFER   ***********6906,Transfers,--11
posted,,04/05/2021,,PAYPAL           INST XFER  ***********IS85,Transfers,-533.07
posted,,04/05/2021,,PAYPAL           INST XFER  ***********VERI,Transfers,-90
posted,,04/05/2021,,PAYPAL           INST XFER  ***********VERI,Transfers,-40
posted,,04/05/2021,,VENMO            PAYMENT    ***********9432,Transfers,-3.29
posted,,04/05/2021,,SQ *AC2 BAKERY LLC       LIVINGSTON   TN,Restaurants/Dining,-92.18
posted,,04/05/2021,,STARBUCKS 800-782-7282   800-782-7282 WA,Other Expenses,-50
posted,,04/05/2021,,FOOD CITY #656           CROSSVILLE   TN,Other Expenses,-18.13
